,majorGroup,familyName,genusName,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,redlistIndex,image_inaturalist,licence
453,Dicot,ZYGOPHYLLACEAE,Balanites,146444728,145397993,Balanites pedicellaris,PLANTAE,TRACHEOPHYTA,ZYGOPHYLLALES,MAGNOLIOPSIDA,pedicellaris,NA,NA,NA,Mildbr. &amp; Schltr.,Least Concern,,3.1,Stable,Global,1,,
454,Dicot,GESNERIACEAE,Solenophora,207840775,162140865,Solenophora calycosa,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,calycosa,NA,NA,NA,Donn.Sm.,Least Concern,,3.1,Decreasing,Global,1,,
455,Dicot,CAPPARACEAE,Colicodendron,135731581,135731579,Colicodendron scabridum,PLANTAE,TRACHEOPHYTA,BRASSICALES,MAGNOLIOPSIDA,scabridum,NA,NA,NA,(Kunth) Seem.,Least Concern,,3.1,Stable,Global,1,,
456,Dicot,CELASTRACEAE,Elaeodendron,149513236,149513234,Elaeodendron croceum,PLANTAE,TRACHEOPHYTA,CELASTRALES,MAGNOLIOPSIDA,croceum,NA,NA,NA,(Thunb.) DC.,Least Concern,,3.1,Decreasing,Global,1,,
457,Dicot,PHYLLANTHACEAE,Breynia,147650199,147650197,Breynia vitis-idaea,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,vitis-idaea,NA,NA,NA,(Burm.f.) C.E.C.Fisch.,Least Concern,,3.1,Stable,Global,1,,
458,Dicot,ACHARIACEAE,Rawsonia,146195926,146188469,Rawsonia lucida,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,lucida,NA,NA,NA,Harv. &amp; Sond.,Least Concern,,3.1,Stable,Global,1,,
459,Dicot,CRASSULACEAE,Aichryson,5567815,162278,Aichryson dumosum,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,dumosum,NA,NA,NA,(Lowe) Praeger,Critically Endangered,B2ab(iii),3.1,Stable,Global & Europe,5,,
460,Dicot,AMARANTHACEAE,Alternanthera,61481463,39071,Alternanthera filifolia,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,filifolia,NA,NA,NA,(Hook.f.) J.T. Howell,Least Concern,,3.1,Stable,Global,1,,
461,Dicot,OCHNACEAE,Brackenridgea,146682637,146681381,Brackenridgea nitida,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,nitida,NA,NA,NA,A.Gray,Least Concern,,3.1,Unknown,Global,1,,
462,Dicot,PLANTAGINACEAE,Dopatrium,140516232,185447,Dopatrium longidens,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,longidens,NA,NA,NA,Skan,Least Concern,,3.1,Unknown,"Global, Pan-Africa & Western Africa",1,,
463,Dicot,RANUNCULACEAE,Helleborus,2764911,203402,Helleborus purpurascens,PLANTAE,TRACHEOPHYTA,RANUNCULALES,MAGNOLIOPSIDA,purpurascens,NA,NA,NA,Waldst. &amp; Kit.,Least Concern,,3.1,Stable,Global & Europe,1,,
464,Dicot,HALORAGACEAE,Myriophyllum,67730192,64318391,Myriophyllum pinnatum,PLANTAE,TRACHEOPHYTA,SAXIFRAGALES,MAGNOLIOPSIDA,pinnatum,NA,NA,NA,(Walt.) B.S.P.,Least Concern,,3.1,Unknown,Global,1,,
465,Dicot,ONAGRACEAE,Epilobium,1044291,164347,Epilobium hirsutum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,hirsutum,NA,NA,NA,L.,Least Concern,,3.1,Unknown,Global,1,,
466,Dicot,POLYGONACEAE,Persicaria,67730342,64320302,Persicaria sagittata,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,sagittata,NA,NA,NA,(L.) H.Gross,Least Concern,,3.1,Unknown,Global,1,,
467,Dicot,ROSACEAE,Chamaemeles,102153099,162297,Chamaemeles coriacea,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,coriacea,NA,NA,NA,Lindl.,Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global & Europe,4,,
468,Dicot,NYMPHAEACEAE,Barclaya,8877027,194023,Barclaya motleyi,PLANTAE,TRACHEOPHYTA,NYMPHAEALES,MAGNOLIOPSIDA,motleyi,NA,NA,NA,Hook.f.,Data Deficient,,3.1,Unknown,Global,0,,
469,Dicot,DROSERACEAE,Drosera,143976726,66440739,Drosera gigantea,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,gigantea,NA,NA,NA,Lindl.,Least Concern,,3.1,Stable,Global,1,,
470,Dicot,MALVACEAE,Herrania,150007558,150007515,Herrania purpurea,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,purpurea,NA,NA,NA,(Pittier) R.E.Schult.,Least Concern,,3.1,Stable,Global,1,,
471,Dicot,BRASSICACEAE,Draba,10785062,43207,Draba hookeri,PLANTAE,TRACHEOPHYTA,BRASSICALES,MAGNOLIOPSIDA,hookeri,NA,NA,NA,Walp.,Near Threatened,,3.1,,Global,2,,
472,Dicot,LINDERNIACEAE,Craterostigma,7385622,177183,Craterostigma nummulariifolium,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,nummulariifolium,NA,NA,NA,"(D.Don) Eb.Fisch., Schäferh. &amp; Kai Müll.",Least Concern,,3.1,Unknown,Global,1,,
473,Dicot,SANTALACEAE,Arceuthobium,12685664,63518,Arceuthobium oxycedri,PLANTAE,TRACHEOPHYTA,SANTALALES,MAGNOLIOPSIDA,oxycedri,NA,NA,NA,M.Bieb.,Least Concern,,3.1,,Global,1,,
474,Dicot,PASSIFLORACEAE,Passiflora,11003923,45540,Passiflora anfracta,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,anfracta,NA,NA,NA,Mast. ex Andrè,Endangered,A4c,3.1,,Global,4,,
475,Dicot,MELIACEAE,Azadirachta,61793525,61793521,Azadirachta indica,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,indica,NA,NA,NA,A.Juss.,Least Concern,,3.1,Stable,Global,1,,
476,Dicot,MORACEAE,Brosimum,149047556,144137454,Brosimum lactescens,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,lactescens,NA,NA,NA,(S.Moore) C.C.Berg,Least Concern,,3.1,Stable,Global,1,,
477,Dicot,MALPIGHIACEAE,Lophanthera,191125696,191125694,Lophanthera lactescens,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,lactescens,NA,NA,NA,Ducke,Data Deficient,,3.1,Unknown,Global,0,,
478,Dicot,MELASTOMATACEAE,Melastoma,147643699,147643697,Melastoma dodecandrum,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,dodecandrum,NA,NA,NA,Lour.,Least Concern,,3.1,Stable,Global,1,,
